"","species","stage","eqName","nParam","AIC","CTmin","CTmax"
"111","Sesamia nonagrioides","larva","analytis_77",NA,NA,NA,NA
"112","Sesamia nonagrioides","larva","ratkowsky_83",4,-218.819,6.998,43.527
"113","Sesamia nonagrioides","larva","hilbertLogan_83",5,-216.547,5.138,42.283
"114","Sesamia nonagrioides","larva","beta_95",5,-217.274,-162.556,79.834
"115","Sesamia nonagrioides","larva","beta_16",4,-218.68,5.972,40.463
"116","Sesamia nonagrioides","larva","briere1_99",3,-219.827,8.79,37.672
"117","Sesamia nonagrioides","larva","briere2_99",4,-218.414,10.764,39.789
"118","Sesamia nonagrioides","larva","kontodimas_04",3,-220.588,8.295,41.108
"119","Sesamia nonagrioides","larva","shi_11",5,-216.101,11.761,39.805
"120","Sesamia nonagrioides","larva","perf2_11",4,-218.101,11.76,39.805
"121","Sesamia nonagrioides","larva","regniere_12",6,-214.651,10.531,42.646
"122","Sesamia nonagrioides","pupa","analytis_77",5,-221.095,-5.467,62.918
"123","Sesamia nonagrioides","pupa","ratkowsky_83",4,-222.195,4.984,47.544
"124","Sesamia nonagrioides","pupa","hilbertLogan_83",5,-219.699,4.207,42.376
"125","Sesamia nonagrioides","pupa","beta_95",5,-221.404,-26.688,270.12
"126","Sesamia nonagrioides","pupa","beta_16",4,-222.124,3.583,42.439
"127","Sesamia nonagrioides","pupa","briere1_99",3,-222.881,6.77,37.826
"128","Sesamia nonagrioides","pupa","briere2_99",4,-221.351,7.704,41.164
"129","Sesamia nonagrioides","pupa","kontodimas_04",3,-223.861,5.758,44.272
"130","Sesamia nonagrioides","pupa","shi_11",5,-216.534,9.284,40.312
"131","Sesamia nonagrioides","pupa","perf2_11",4,-218.586,9.271,40.323
"132","Sesamia nonagrioides","pupa","regniere_12",6,-216.221,8.372,40.022
