"","stage","sp","modName","parName","Estimate","Std..Error"
"153","egg","Busseola fusca","ratkowsky_83","k",5.42645655927565e-05,0.156726619097443
"154","egg","Busseola fusca","hilbertLogan_83",NA,NA,NA
"155","egg","Busseola fusca","beta_95","mu",-298.47488018711,228326.486690674
"156","egg","Busseola fusca","beta_95","Tb",8.64000581322704,84.5204703943061
"157","egg","Busseola fusca","beta_95","Tc",624.703732710409,393453.495929761
"158","egg","Busseola fusca","beta_95","aa",1.92111748632478,40.9104319842136
"159","egg","Busseola fusca","beta_95","bb",45.5135176334604,31008.2992265085
"160","egg","Busseola fusca","beta_16","rm",0.160384270832046,0.0208375315800112
"161","egg","Busseola fusca","beta_16","T1",10.8083038651169,5.3426021982399
"162","egg","Busseola fusca","beta_16","T2",52.1464479443821,30.3919239901754
"163","egg","Busseola fusca","beta_16","Tm",32.7089088861644,9.50913004263794
"164","egg","Busseola fusca","briere1_99","aa",9.21701473121232e-05,2.35860193949869e-05
"165","egg","Busseola fusca","briere1_99","Tmin",6.90499040370597,2.42132038187383
"166","egg","Busseola fusca","briere1_99","Tmax",36.0172708296874,2.21504979750989
"167","egg","Busseola fusca","briere2_99","aa",4.91189425261982e-15,1.22451074842838e-12
"168","egg","Busseola fusca","briere2_99","Tmin",10.6164760981728,3.33508096564342
"169","egg","Busseola fusca","briere2_99","Tmax",108.89286601829,662.979513934927
"170","egg","Busseola fusca","briere2_99","bb",0.176619440144403,1.44183572456088
"171","egg","Busseola fusca","kontodimas_04","aa",2.20986320060294e-05,9.12445289100973e-06
"172","egg","Busseola fusca","kontodimas_04","Tmin",5.86385105160568,1.70423896660202
"173","egg","Busseola fusca","kontodimas_04","Tmax",42.1527133261561,3.68679133499524
"174","egg","Busseola fusca","shi_11",NA,NA,NA
"175","egg","Busseola fusca","perf2_11","cc",0.0600923955663241,1.66823571698819
"176","egg","Busseola fusca","perf2_11","T1",11.3849664914533,2.11446610084531
"177","egg","Busseola fusca","perf2_11","k",0.00624337704590648,0.204418804663018
