minimum;Q1;median;Q3;maximum;mean;month;scenario;species
0.0688645558080081;0.170108233569047;0.18773603308247;0.229627536216483;0.304133818156481;0.193418433706844;7;ssp585;Busseola fusca
-0.00698303658110899;0.138251062830727;0.164613427246605;0.195370050164188;0.265010823836182;0.165386624056261;8;ssp585;Busseola fusca
-0.159575816764535;0.0995417662887345;0.118021444269264;0.141526495323224;0.197444589272427;0.118307631371025;9;ssp585;Busseola fusca
-0.179353987241124;0.0820429319035917;0.11117889193984;0.156029762986081;0.253441489896372;0.108458514449714;10;ssp585;Busseola fusca
0.038503163593506;0.098194938347916;0.130902433243956;0.174029551805229;0.282898610022799;0.140746710835223;11;ssp585;Busseola fusca
0.0658043838736193;0.111564768507497;0.132617644155658;0.164081736634638;0.292158472063814;0.147303943891073;12;ssp585;Busseola fusca
0;0;0;0;0;0;1;ssp126;Ostrinia nubilalis
0;0;0;0;0;0;2;ssp126;Ostrinia nubilalis
0;0;0;0;0;0;3;ssp126;Ostrinia nubilalis
0;0;0;0.0606159523435514;0.109089429349266;0.0227608759075163;4;ssp126;Ostrinia nubilalis
0;0.0510197366277699;0.0808620280788399;0.105996016606168;0.134762119843946;0.0786977645051702;5;ssp126;Ostrinia nubilalis
0.0223869641381546;0.0597989229480853;0.0821267433148582;0.113919481802494;0.157512691564027;0.0864861413543716;6;ssp126;Ostrinia nubilalis
0.0318635504420612;0.0596965653585986;0.0841170528341158;0.115166642243015;0.180715086070763;0.0896703520432272;7;ssp126;Ostrinia nubilalis
0.0113072123876194;0.0617628211464775;0.0969587492684127;0.107840440714579;0.197176661260782;0.0923786945012822;8;ssp126;Ostrinia nubilalis
0.0222072848224197;0.0487742002400762;0.0916389901580647;0.114382822803717;0.219657197856653;0.0924073146705203;9;ssp126;Ostrinia nubilalis
0;0.0512038441317597;0.0787050253862459;0.0995801362541095;0.179699388209386;0.0761112635893284;10;ssp126;Ostrinia nubilalis
0;0;0;0;0;0;11;ssp126;Ostrinia nubilalis
0;0;0;0;0;0;12;ssp126;Ostrinia nubilalis
0;0;0;0;0;0;1;ssp585;Ostrinia nubilalis
0;0;0;0;0;0;2;ssp585;Ostrinia nubilalis
0;0;0;0;0.0210493605016684;0.000619098838284366;3;ssp585;Ostrinia nubilalis
0;0.0882765642090589;0.129251927813013;0.201041098135244;0.309136417547895;0.138149279282475;4;ssp585;Ostrinia nubilalis
0.125364291621135;0.224089660970766;0.265594601504389;0.292739833601644;0.39319347684069;0.254793110434497;5;ssp585;Ostrinia nubilalis
0.15558896447448;0.244713699703213;0.29655115026934;0.352771728006581;0.428753454524082;0.285915633410226;6;ssp585;Ostrinia nubilalis
0.177763688672483;0.228897789221753;0.27617001114112;0.323549092689691;0.410930262247765;0.280542776094404;7;ssp585;Ostrinia nubilalis
0.187032774905501;0.246716539948493;0.296036278006975;0.337573439907077;0.418964756778569;0.297306450699962;8;ssp585;Ostrinia nubilalis
0.166306104041936;0.25923442141757;0.322392747669734;0.341130504015393;0.49832017752926;0.309112948062432;9;ssp585;Ostrinia nubilalis
0.00385900981196367;0.234738640088243;0.267096433575338;0.308880681159809;0.483481441458159;0.269086987985777;10;ssp585;Ostrinia nubilalis
0;0;0.0188764577009948;0.0733932901864676;0.181212188980364;0.0422400526970452;11;ssp585;Ostrinia nubilalis
0;0;0;0;0;0;12;ssp585;Ostrinia nubilalis
0;0;0;0.0131892301995298;0.0519094906498852;0.0090205749747898;1;ssp126;Sesamia nonagrioides
0;0;0.0191059707543217;0.0386552604967605;0.082612312719381;0.0248119200967112;2;ssp126;Sesamia nonagrioides
0.0157328717071829;0.0380559204686489;0.0501423068429307;0.0734711706375841;0.111426677391896;0.055507218445027;3;ssp126;Sesamia nonagrioides
0.0215028715607972;0.04670913258162;0.0598989696785376;0.085013480860326;0.144567725899229;0.0689680048537069;4;ssp126;Sesamia nonagrioides
0.0309030356063065;0.0634095871949745;0.0893792816140269;0.110599879767728;0.16431777270232;0.090953238763081;5;ssp126;Sesamia nonagrioides
0.0222135251540668;0.0687741390293253;0.0879676889263611;0.10526524210796;0.150953576034112;0.0848106093262437;6;ssp126;Sesamia nonagrioides
-0.126149675167484;0.0391237549945034;0.0659247813724331;0.0803063300861671;0.130683553279311;0.0598136867634358;7;ssp126;Sesamia nonagrioides
-0.0639258125786635;0.0453245116706122;0.0717128754068041;0.0891016948851417;0.145982282570152;0.0674031165831876;8;ssp126;Sesamia nonagrioides
